Hub,RemovalSite,DisposalSite,SnowTransported,Start_Lat,Start_Lng,End_Lat,End_Lng
VMA-307,SLA-369,Jules-Poitras 2 (SLA),74626.73,45.5101042,-73.68754717,45.529,-73.687
VMA-307,LAS-333,Saint-Pierre (LAC),67148.59,45.41672125,-73.64428762,45.468,-73.599
VMA-307,SLE-304,Iberville (PMR),202107.95,45.59511827,-73.58164095,45.533,-73.555
VMA-307,SLE-303,Iberville (PMR),219784.46,45.59511827,-73.58164095,45.533,-73.555
VMA-307,VSP-108,Iberville (PMR),120159.51,45.53663772,-73.64473434,45.533,-73.555
VMA-307,LAC-102,St-Michel-17ième(Sous-Sol),84276.29,45.44874551,-73.7207966,45.576,-73.625
VMA-307,SLA-363,Jules-Poitras 2 (SLA),84510.81,45.52393904,-73.70679262,45.529,-73.687
VMA-307,VSP-109,Iberville (PMR),137970.19,45.54102211,-73.64189435,45.533,-73.555
VMA-307,SLA-370,Jules-Poitras 2 (SLA),81596.87,45.4971947,-73.69939657,45.529,-73.687
VMA-307,MTN-102,Iberville (PMR),115918.37,45.61189793,-73.60166814,45.533,-73.555
VMA-307,ANJ-312,Iberville (PMR),190725.51,45.61258773,-73.60235426,45.533,-73.555
VMA-307,SLA-365,Jules-Poitras 2 (SLA),100648.23,45.50832976,-73.71576601,45.529,-73.687
VMA-307,VSP-103,Iberville (PMR),145643.47,45.5465949,-73.63769029,45.533,-73.555
VMA-307,ANJ-311,Iberville (PMR),74463.74,45.5993434,-73.5771954,45.533,-73.555
VMA-307,SLA-366,Jules-Poitras 2 (SLA),81563.47,45.52827247,-73.69257716,45.529,-73.687
VMA-307,LAC-305,St-Michel-17ième(Sous-Sol),61232.24,45.47359968,-73.7081493,45.576,-73.625
VMA-307,ANJ-101,Iberville (PMR),135587.31,45.62486671,-73.54666744,45.533,-73.555
VMA-307,SLA-371,Jules-Poitras 2 (SLA),80953.24,45.52568678,-73.67938079,45.529,-73.687
VMA-307,LAC-306,St-Michel-17ième(Sous-Sol),149069.24,45.44785518,-73.69973418,45.576,-73.625
VMA-307,LAC-104,St-Michel-17ième(Sous-Sol),52879.08,45.46451771,-73.69477837,45.576,-73.625
VMA-307,MTN-307,Iberville (PMR),179912.37,45.6106194,-73.60719834,45.533,-73.555
VMA-307,SLA-368,St-Michel-17ième(Sous-Sol),92066.03,45.51432286,-73.73363993,45.576,-73.625
VMA-307,MTN-103,St-Michel-17ième(Sous-Sol),106176.99,45.62595631,-73.616592,45.576,-73.625
VMA-307,MTN-104,St-Michel - Charland (VSP),105891.84,45.60551289,-73.62405162,45.579,-73.633
VMA-307,SLA-367,St-Michel-17ième(Sous-Sol),96600.02,45.52225915,-73.73416154,45.576,-73.625
VMA-307,RDP-202,St-Michel-17ième(Sous-Sol),115670.96,45.64820144,-73.54440856,45.576,-73.625
VMA-307,RDP-102,St-Michel - Robert (VSP),163220.74,45.63457353,-73.58575489,45.573,-73.612
VMA-307,RDP-201,St-Michel-17ième(Sous-Sol),166379.71,45.64153239,-73.57656323,45.576,-73.625
VMA-307,RDP-101,St-Michel-17ième(Sous-Sol),198928.84,45.64505274,-73.59683981,45.576,-73.625
VMA-307,RDP-103,St-Michel-17ième(Sous-Sol),201736.38,45.64505274,-73.59683981,45.576,-73.625
VMA-307,AHU-101,SauvÃ© (AHU),146517.1,45.54427433,-73.70412065,45.54,-73.665
VMA-307,AHU-103,Jules-Poitras 2 (SLA),174266.08,45.54427433,-73.70412065,45.529,-73.687
VMA-307,RDP-203,St-Michel-17ième(Sous-Sol),182385.61,45.65248011,-73.51038355,45.576,-73.625
VMA-307,RDP-107,Iberville (PMR),173405.52,45.65248011,-73.51038355,45.533,-73.555
VMA-307,AHU-202,Millen (AHU),135547.87,45.54975712,-73.67922621,45.557,-73.668
VMA-307,AHU-104,Millen (AHU),128579.68,45.54722741,-73.69246631,45.557,-73.668
VMA-307,AHU-102,Jules-Poitras 2 (SLA),166156.4,45.54355918,-73.70279457,45.529,-73.687
VMA-307,AHU-201,Millen (AHU),132188.9,45.55986009,-73.67179148,45.557,-73.668
VMA-307,PRF-304F,St-Michel-17ième(Sous-Sol),22601.93,45.50442266,-73.75168321,45.576,-73.625
VMA-307,RDP-105,St-Michel-17ième(Sous-Sol),157347.72,45.6981362,-73.50951395,45.576,-73.625
VMA-307,RDP-106,St-Michel-17ième(Sous-Sol),182306.97,45.69558777,-73.50961773,45.576,-73.625
VMA-307,PRF-304E,St-Michel-17ième(Sous-Sol),38547.16,45.50570163,-73.79508132,45.576,-73.625
VMA-307,PRF-304D,St-Michel-17ième(Sous-Sol),19647.35,45.51669083,-73.84362667,45.576,-73.625
VMA-307,PRF-304C,St-Michel-17ième(Sous-Sol),22260.38,45.48888963,-73.85979422,45.576,-73.625
VMA-307,PRF-304B,St-Michel-17ième(Sous-Sol),24034.84,45.46585424,-73.87304961,45.576,-73.625
