PickupSector,DisposalSite, Distance (km)
ANJ-309,Fullum (VMA),13.078452
ANJ-309,Iberville (PMR),10.246605
ANJ-309,Jules-Poitras 1 (AHU),19.367336
ANJ-309,Jules-Poitras 2 (SLA),16.578334
ANJ-309,Lausanne (MTN),10.4304
ANJ-309,Millen (AHU),25.027812
ANJ-309,Riverside (VMA),17.002711
ANJ-309,Saint-Pierre (LAC),22.096479
ANJ-309,Sauvé (AHU),14.747043
ANJ-309,Verdun (VER),21.118771
ANJ-309,46 ieme (LAC),24.962979
ANJ-309,Angrignon (LAS),24.772053
ANJ-309,Armand-Chaput (RDP),9.106046
ANJ-309,Autoroute 13 (PRF),36.02293
ANJ-309,Château Pierrefonds (PRF),37.403926
ANJ-309,Lafarge (sud) (MHM),4.752083
ANJ-309,Langelier (SLE),6.498884
ANJ-309,Newman (S-O),24.003689
ANJ-309,Ray-Lawson (ANJ),3.847512
ANJ-309,Sartelon (SLA),21.35001
ANJ-309,Thimens (SLA),21.588498
ANJ-310,St-Michel - Charland (VSP),10.356798
ANJ-310,St-Michel - Robert (VSP),7.391217
ANJ-310,St-Michel-17ième(Sous-Sol),9.488577
ANJ-310,Butler (S-O),17.746502
ANJ-310,De la Salle (MHM),8.059292
ANJ-310,Fullum (VMA),11.149211
ANJ-310,Iberville (PMR),8.383688
ANJ-310,Jules-Poitras 1 (AHU),18.695738
ANJ-310,Jules-Poitras 2 (SLA),15.906739
ANJ-310,Lausanne (MTN),10.725715
ANJ-310,Millen (AHU),12.801596
ANJ-310,Riverside (VMA),15.073469
ANJ-310,Saint-Pierre (LAC),20.167238
ANJ-310,Sauvé (AHU),14.075446
ANJ-310,Verdun (VER),19.189529
ANJ-310,46 ieme (LAC),24.291383
ANJ-310,Angrignon (LAS),22.842812
ANJ-310,Armand-Chaput (RDP),14.755941
ANJ-310,Autoroute 13 (PRF),23.784492
ANJ-310,Château Pierrefonds (PRF),36.732328
ANJ-310,Lafarge (sud) (MHM),5.147437
ANJ-310,Langelier (SLE),5.775234
ANJ-310,Newman (S-O),22.074447
ANJ-310,Ray-Lawson (ANJ),7.686759
ANJ-310,Sartelon (SLA),20.678412
ANJ-310,Thimens (SLA),20.9169
ANJ-311,St-Michel - Charland (VSP),7.176721
ANJ-311,St-Michel - Robert (VSP),5.032036
ANJ-311,St-Michel-17ième(Sous-Sol),7.129396
ANJ-311,Butler (S-O),23.419107
ANJ-311,De la Salle (MHM),9.668037
ANJ-311,Fullum (VMA),12.757957
ANJ-311,Iberville (PMR),9.992434
ANJ-311,Jules-Poitras 1 (AHU),16.33656
ANJ-311,Jules-Poitras 2 (SLA),13.547558
ANJ-311,Lausanne (MTN),7.881763
ANJ-311,Millen (AHU),10.442415
ANJ-311,Riverside (VMA),16.682217
ANJ-311,Saint-Pierre (LAC),21.775984
ANJ-311,Sauvé (AHU),11.716266
ANJ-311,Verdun (VER),20.798277
ANJ-311,46 ieme (LAC),21.932199
ANJ-311,Angrignon (LAS),24.097893
ANJ-311,Armand-Chaput (RDP),12.84695
ANJ-311,Autoroute 13 (PRF),21.425312
ANJ-311,Château Pierrefonds (PRF),34.373148
