Removal Site 1,Removal Site 2,Distance
LAS-326,AHU-105,21.05
LAS-327,AHU-105,20.87
LAS-328,AHU-105,21.35
LAS-329,AHU-105,19.07
LAS-330,AHU-105,21.11
LAS-333,AHU-105,21.9
MHM-105,AHU-105,15.57
MHM-106,AHU-105,15.22
MHM-107,AHU-105,13.31
MHM-108,AHU-105,11.53
MHM-109,AHU-105,11.41
MHM-209,AHU-105,11.79
MHM-210,AHU-105,11.54
MHM-211,AHU-105,14.14
MTN-102,AHU-105,15.08
MTN-103,AHU-105,11.54
MTN-104,AHU-105,9
MTN-305,AHU-105,5.78
MTN-307,AHU-105,15.47
OUT-101,AHU-105,6.08
PMR-101,AHU-105,6.22
PMR-102,AHU-105,7.28
PMR-203,AHU-105,6.86
PMR-204,AHU-105,9.84
PRF-304B,AHU-105,26
PRF-304C,AHU-105,25.95
PRF-304D,AHU-105,23.99
PRF-304E,AHU-105,22.18
PRF-304F,AHU-105,9.73
RDP-101,AHU-105,23.33
RDP-102,AHU-105,16.93
RDP-103,AHU-105,23.33
RDP-105,AHU-105,23.62
RDP-106,AHU-105,23.34
RDP-107,AHU-105,20.56
RDP-201,AHU-105,18.88
RDP-202,AHU-105,19.21
RDP-203,AHU-105,20.56
RPP-101,AHU-105,4.57
RPP-102,AHU-105,8.81
RPP-103,AHU-105,9.41
RPP-104,AHU-105,10.61
RPP-201,AHU-105,4.55
RPP-204,AHU-105,5.72
RPP-205,AHU-105,8.85
SLA-363,AHU-105,5.51
SLA-364,AHU-105,4.65
SLA-365,AHU-105,7.29
SLA-366,AHU-105,3.83
SLA-367,AHU-105,8.03
SLA-368,AHU-105,7.75
SLA-369,AHU-105,4.73
SLA-370,AHU-105,6.62
SLA-371,AHU-105,3.39
SLE-109,AHU-105,9.87
SLE-110,AHU-105,11.51
SLE-111,AHU-105,12.29
SLE-303,AHU-105,11.65
SLE-304,AHU-105,11.65
S-O-103,AHU-105,20.29
S-O-104,AHU-105,18.23
S-O-201A,AHU-105,16.96
S-O-201B,AHU-105,15.78
VER-310A,AHU-105,18.7
VER-310B,AHU-105,20.84
VMA-109,AHU-105,11.66
VMA-110,AHU-105,17.78
VMA-111,AHU-105,8.26
VMA-306,AHU-105,8.83
VMA-307,AHU-105,9.46
VSP-103,AHU-105,3.46
VSP-104,AHU-105,3
VSP-107,AHU-105,4.26
VSP-108,AHU-105,4.7
VSP-109,AHU-105,1.95
VSP-205,AHU-105,4.42
VSP-206,AHU-105,6.1
AHU-101,AHU-106,7.07
AHU-102,AHU-106,6.86
AHU-103,AHU-106,7.07
AHU-104,AHU-106,5.45
AHU-105,AHU-106,4.35
AHU-106,AHU-106,0
AHU-107,AHU-106,3.49
AHU-201,AHU-106,2.29
AHU-202,AHU-106,3.59
ANJ-101,AHU-106,14.25
ANJ-309,AHU-106,13.02
ANJ-310,AHU-106,12.35
ANJ-311,AHU-106,11.36
ANJ-312,AHU-106,7.89
CDN-111,AHU-106,16.4
CDN-112,AHU-106,14.49
CDN-113,AHU-106,14.87
CDN-114,AHU-106,13.08
CDN-115,AHU-106,13.93
CDN-116,AHU-106,13.64
CDN-301,AHU-106,15.47
IBI-301,AHU-106,37.51
LAC-102,AHU-106,18.81
LAC-104,AHU-106,16.35
LAC-305,AHU-106,28.15
LAC-306,AHU-106,19.46
LAS-321,AHU-106,22.54
LAS-323,AHU-106,27.51
LAS-325,AHU-106,25.18
LAS-326,AHU-106,24.83
LAS-327,AHU-106,24.65
LAS-328,AHU-106,25.12
LAS-329,AHU-106,22.84
LAS-330,AHU-106,24.89
LAS-333,AHU-106,25.67
MHM-105,AHU-106,14.35
MHM-106,AHU-106,13.99
MHM-107,AHU-106,12.08
MHM-108,AHU-106,10.3
MHM-109,AHU-106,9.78
MHM-209,AHU-106,10.56
MHM-210,AHU-106,10.31
MHM-211,AHU-106,12.91
MTN-102,AHU-106,7.86
MTN-103,AHU-106,7.85
MTN-104,AHU-106,5.31
MTN-305,AHU-106,3.87
MTN-307,AHU-106,8.23
OUT-101,AHU-106,11.19
PMR-101,AHU-106,7.76
PMR-102,AHU-106,10.64
PMR-203,AHU-106,8.01
PMR-204,AHU-106,8.59
PRF-304B,AHU-106,29.14
PRF-304C,AHU-106,29.09
PRF-304D,AHU-106,30.67
PRF-304E,AHU-106,28.7
PRF-304F,AHU-106,11.96
RDP-101,AHU-106,10.96
RDP-102,AHU-106,10.72
RDP-103,AHU-106,10.96
RDP-105,AHU-106,22.4
RDP-106,AHU-106,22.11
RDP-107,AHU-106,19.34
RDP-201,AHU-106,11.77
RDP-202,AHU-106,14.8
RDP-203,AHU-106,19.34
RPP-101,AHU-106,7.63
RPP-102,AHU-106,7.58
RPP-103,AHU-106,9.56
RPP-104,AHU-106,9.38
RPP-201,AHU-106,6.12
RPP-204,AHU-106,5.53
RPP-205,AHU-106,7.28
SLA-363,AHU-106,7.75
SLA-364,AHU-106,8.52
SLA-365,AHU-106,9.52
SLA-366,AHU-106,6.07
SLA-367,AHU-106,10.27
SLA-368,AHU-106,9.99
SLA-369,AHU-106,8.67
SLA-370,AHU-106,11.32
SLA-371,AHU-106,7.33
SLE-109,AHU-106,8.64
SLE-110,AHU-106,6.7
SLE-111,AHU-106,7.48
SLE-303,AHU-106,9.8
SLE-304,AHU-106,9.8
S-O-103,AHU-106,24.07
S-O-104,AHU-106,22.01
S-O-201A,AHU-106,20.74
S-O-201B,AHU-106,19.56
VER-310A,AHU-106,22.48
VER-310B,AHU-106,19.28
VMA-109,AHU-106,13.8
VMA-110,AHU-106,21.56
VMA-111,AHU-106,11.26
VMA-306,AHU-106,10.52
VMA-307,AHU-106,11.14
VSP-103,AHU-106,5.46
VSP-104,AHU-106,1.53
VSP-107,AHU-106,4.07
VSP-108,AHU-106,6.7
VSP-109,AHU-106,5.59
VSP-205,AHU-106,3.41
VSP-206,AHU-106,4.85
AHU-101,AHU-107,6.33
AHU-102,AHU-107,4.91
AHU-103,AHU-107,6.33
AHU-104,AHU-107,4.71
AHU-105,AHU-107,1.63
AHU-106,AHU-107,6.45
AHU-107,AHU-107,0
AHU-201,AHU-107,2.42
AHU-202,AHU-107,2.85
ANJ-101,AHU-107,13.5
ANJ-309,AHU-107,12.27
ANJ-310,AHU-107,11.6
ANJ-311,AHU-107,9.24
ANJ-312,AHU-107,11.71
CDN-111,AHU-107,13.49
CDN-112,AHU-107,11.58
CDN-113,AHU-107,11.96
CDN-114,AHU-107,10.17
CDN-115,AHU-107,7.32
CDN-116,AHU-107,7.02
CDN-301,AHU-107,12.56
IBI-301,AHU-107,34.6
LAC-102,AHU-107,15.9
LAC-104,AHU-107,13.44
LAC-305,AHU-107,16.06
LAC-306,AHU-107,16.55
LAS-321,AHU-107,19.63
LAS-323,AHU-107,24.6
LAS-325,AHU-107,22.27
LAS-326,AHU-107,21.92
LAS-327,AHU-107,21.74
LAS-328,AHU-107,22.22
LAS-329,AHU-107,19.93
